office_id,office_name,postcode_sector,status
barnsley,Barnsley,S35 7,loaded
barnsley,Barnsley,S36 6,loaded
barnsley,Barnsley,S36 7,loaded
barnsley,Barnsley,S36 8,loaded
barnsley,Barnsley,S36 9,loaded
barnsley,Barnsley,S63 0,loaded
barnsley,Barnsley,S63 5,loaded
barnsley,Barnsley,S63 6,loaded
barnsley,Barnsley,S63 7,loaded
barnsley,Barnsley,S63 8,loaded
barnsley,Barnsley,S63 9,loaded
barnsley,Barnsley,S70 1,loaded
barnsley,Barnsley,S70 2,loaded
barnsley,Barnsley,S70 3,loaded
barnsley,Barnsley,S70 4,loaded
barnsley,Barnsley,S70 5,loaded
barnsley,Barnsley,S70 6,loaded
barnsley,Barnsley,S71 1,loaded
barnsley,Barnsley,S71 2,loaded
barnsley,Barnsley,S71 3,loaded
barnsley,Barnsley,S71 4,loaded
barnsley,Barnsley,S71 5,loaded
barnsley,Barnsley,S72 0,loaded
barnsley,Barnsley,S72 7,loaded
barnsley,Barnsley,S72 8,loaded
barnsley,Barnsley,S72 9,loaded
barnsley,Barnsley,S73 0,loaded
barnsley,Barnsley,S73 8,loaded
barnsley,Barnsley,S73 9,loaded
barnsley,Barnsley,S74 0,loaded
barnsley,Barnsley,S74 8,loaded
barnsley,Barnsley,S74 9,loaded
barnsley,Barnsley,S75 1,loaded
barnsley,Barnsley,S75 2,loaded
barnsley,Barnsley,S75 3,loaded
barnsley,Barnsley,S75 4,loaded
barnsley,Barnsley,S75 5,loaded
barnsley,Barnsley,S75 6,loaded
basildon,Basildon,CM11 2,loaded
basildon,Basildon,CM12 0,loaded
basildon,Basildon,CM12 9,loaded
basildon,Basildon,RM14 3,loaded
basildon,Basildon,RM15 4,loaded
basildon,Basildon,RM15 5,loaded
basildon,Basildon,RM15 6,loaded
basildon,Basildon,RM16 2,loaded
basildon,Basildon,RM16 3,loaded
basildon,Basildon,RM16 4,loaded
basildon,Basildon,RM16 5,loaded
basildon,Basildon,RM16 6,loaded
basildon,Basildon,RM17 5,loaded
basildon,Basildon,RM17 6,loaded
basildon,Basildon,RM18 7,loaded
basildon,Basildon,RM18 8,loaded
basildon,Basildon,RM19 1,loaded
basildon,Basildon,RM20 1,loaded
basildon,Basildon,RM20 2,loaded
basildon,Basildon,RM20 3,loaded
basildon,Basildon,RM20 4,loaded
basildon,Basildon,SS12 0,loaded
basildon,Basildon,SS12 9,loaded
basildon,Basildon,SS13 1,loaded
basildon,Basildon,SS13 2,loaded
basildon,Basildon,SS13 3,loaded
basildon,Basildon,SS14 1,loaded
basildon,Basildon,SS14 2,loaded
basildon,Basildon,SS14 3,loaded
basildon,Basildon,SS15 4,loaded
basildon,Basildon,SS15 5,loaded
basildon,Basildon,SS15 6,loaded
basildon,Basildon,SS16 4,loaded
basildon,Basildon,SS16 5,loaded
basildon,Basildon,SS16 6,loaded
basildon,Basildon,SS17 0,loaded
basildon,Basildon,SS17 7,loaded
basildon,Basildon,SS17 8,loaded
basildon,Basildon,SS17 9,loaded
basildon,Basildon,SS7 1,loaded
basildon,Basildon,SS7 2,loaded
basildon,Basildon,SS7 3,loaded
basildon,Basildon,SS7 4,loaded
basildon,Basildon,SS7 5,loaded
basildon,Basildon,SS8 0,loaded
basildon,Basildon,SS8 7,loaded
basildon,Basildon,SS8 8,loaded
basildon,Basildon,SS8 9,loaded
birmingham-south,Birmingham South,B11 1,loaded
birmingham-south,Birmingham South,B11 2,loaded
birmingham-south,Birmingham South,B11 3,loaded
birmingham-south,Birmingham South,B11 4,loaded
birmingham-south,Birmingham South,B12 0,loaded
birmingham-south,Birmingham South,B12 8,loaded
birmingham-south,Birmingham South,B13 0,loaded
birmingham-south,Birmingham South,B13 8,loaded
birmingham-south,Birmingham South,B13 9,loaded
birmingham-south,Birmingham South,B14 4,loaded
birmingham-south,Birmingham South,B14 5,loaded
birmingham-south,Birmingham South,B14 6,loaded
birmingham-south,Birmingham South,B14 7,loaded
birmingham-south,Birmingham South,B26 3,loaded
birmingham-south,Birmingham South,B27 6,loaded
birmingham-south,Birmingham South,B27 7,loaded
birmingham-south,Birmingham South,B28 0,loaded
birmingham-south,Birmingham South,B28 8,loaded
birmingham-south,Birmingham South,B28 9,loaded
birmingham-south,Birmingham South,B29 7,loaded
birmingham-south,Birmingham South,B30 1,loaded
birmingham-south,Birmingham South,B30 2,loaded
birmingham-south,Birmingham South,B30 3,loaded
birmingham-south,Birmingham South,B31 2,loaded
birmingham-south,Birmingham South,B31 3,loaded
birmingham-south,Birmingham South,B31 4,loaded
birmingham-south,Birmingham South,B36 0,loaded
birmingham-south,Birmingham South,B36 9,loaded
birmingham-south,Birmingham South,B37 5,loaded
birmingham-south,Birmingham South,B37 6,loaded
birmingham-south,Birmingham South,B37 7,loaded
birmingham-south,Birmingham South,B38 0,loaded
birmingham-south,Birmingham South,B38 8,loaded
birmingham-south,Birmingham South,B38 9,loaded
birmingham-south,Birmingham South,B40 1,loaded
birmingham-south,Birmingham South,B47 5,loaded
birmingham-south,Birmingham South,B47 6,loaded
birmingham-south,Birmingham South,B90 1,loaded
birmingham-south,Birmingham South,B90 2,loaded
birmingham-south,Birmingham South,B90 3,loaded
birmingham-south,Birmingham South,B90 4,loaded
birmingham-south,Birmingham South,B90 8,loaded
birmingham-south,Birmingham South,B91 1,loaded
birmingham-south,Birmingham South,B91 2,loaded
birmingham-south,Birmingham South,B91 3,loaded
birmingham-south,Birmingham South,B92 0,loaded
birmingham-south,Birmingham South,B92 7,loaded
birmingham-south,Birmingham South,B92 8,loaded
birmingham-south,Birmingham South,B92 9,loaded
birmingham-south,Birmingham South,B93 0,loaded
birmingham-south,Birmingham South,B93 8,loaded
birmingham-south,Birmingham South,B93 9,loaded
birmingham-south,Birmingham South,B94 6,loaded
birmingham-south,Birmingham South,CV7 7,loaded
birmingham-south,Birmingham South,CV8 1,loaded
bristol,Bristol,BS1 1,loaded
bristol,Bristol,BS1 2,loaded
bristol,Bristol,BS1 3,loaded
bristol,Bristol,BS1 4,loaded
bristol,Bristol,BS1 5,loaded
bristol,Bristol,BS1 6,loaded
bristol,Bristol,BS10 5,loaded
bristol,Bristol,BS10 6,loaded
bristol,Bristol,BS10 7,loaded
bristol,Bristol,BS11 0,loaded
bristol,Bristol,BS11 8,loaded
bristol,Bristol,BS11 9,loaded
bristol,Bristol,BS13 0,loaded
bristol,Bristol,BS13 7,loaded
bristol,Bristol,BS13 8,loaded
bristol,Bristol,BS13 9,loaded
bristol,Bristol,BS14 0,loaded
bristol,Bristol,BS14 8,loaded
bristol,Bristol,BS14 9,loaded
bristol,Bristol,BS16 1,loaded
bristol,Bristol,BS16 2,loaded
bristol,Bristol,BS16 3,loaded
bristol,Bristol,BS16 4,loaded
bristol,Bristol,BS16 5,loaded
bristol,Bristol,BS16 6,loaded
bristol,Bristol,BS2 0,loaded
bristol,Bristol,BS2 8,loaded
bristol,Bristol,BS2 9,loaded
bristol,Bristol,BS20 0,loaded
bristol,Bristol,BS20 6,loaded
bristol,Bristol,BS20 7,loaded
bristol,Bristol,BS20 8,loaded
bristol,Bristol,BS3 1,loaded
bristol,Bristol,BS3 2,loaded
bristol,Bristol,BS3 3,loaded
bristol,Bristol,BS3 4,loaded
bristol,Bristol,BS3 5,loaded
bristol,Bristol,BS32 0,loaded
bristol,Bristol,BS32 4,loaded
bristol,Bristol,BS32 8,loaded
bristol,Bristol,BS32 9,loaded
bristol,Bristol,BS34 4,loaded
bristol,Bristol,BS34 5,loaded
bristol,Bristol,BS34 6,loaded
bristol,Bristol,BS34 7,loaded
bristol,Bristol,BS34 8,loaded
bristol,Bristol,BS35 1,loaded
bristol,Bristol,BS35 2,loaded
bristol,Bristol,BS35 3,loaded
bristol,Bristol,BS35 4,loaded
bristol,Bristol,BS35 5,loaded
bristol,Bristol,BS4 1,loaded
bristol,Bristol,BS4 2,loaded
bristol,Bristol,BS4 3,loaded
bristol,Bristol,BS4 4,loaded
bristol,Bristol,BS4 5,loaded
bristol,Bristol,BS41 8,loaded
bristol,Bristol,BS41 9,loaded
bristol,Bristol,BS48 1,loaded
bristol,Bristol,BS48 2,loaded
bristol,Bristol,BS48 3,loaded
bristol,Bristol,BS48 4,loaded
bristol,Bristol,BS5 0,loaded
bristol,Bristol,BS5 6,loaded
bristol,Bristol,BS5 7,loaded
bristol,Bristol,BS5 8,loaded
bristol,Bristol,BS5 9,loaded
bristol,Bristol,BS6 5,loaded
bristol,Bristol,BS6 6,loaded
bristol,Bristol,BS6 7,loaded
bristol,Bristol,BS7 0,loaded
